seed,data_sample_size,dataset,temp,fpr_train,fpr_id,tpr,dis_rate_train_mean,dis_rate_train_std,dis_rate_id_mean,dis_rate_id_std,dis_rate_ood_mean,dis_rate_ood_std
57,100,uci,1,0.1,0.01,0.85,0.4395999869704246,0.022446382850331195,0.4358999881148338,0.018444241374228617,0.4918999895453453,0.016290793422077125
57,100,uci,2,0.03,0.07,0.49,0.547299987077713,0.014131889664546045,0.5477999848127365,0.016466944473299355,0.5784999883174896,0.017628094847843837
57,100,uci,3,0.07,0.07,0.32,0.5894999837875367,0.016815172273778576,0.5863999849557877,0.01646329116716596,0.6088999885320664,0.015420451803671052
57,100,uci,5,0.03,0.09,0.12,0.6227999973297119,0.015171018105702852,0.6279999953508377,0.018761653851592848,0.6380999886989593,0.016473909720266994
57,100,uci,10,0.1,0.08,0.19,0.6564999759197235,0.016271136849671852,0.6519999790191651,0.015556345615120842,0.66149997651577,0.015058223857377056
57,100,uci,20,0.08,0.04,0.11,0.669399979710579,0.015988754734743527,0.6678999763727188,0.014373247331180243,0.6720999801158904,0.01692897746655598
57,100,cifar10,1,0.1,0.14,0.98,0.42619998812675475,0.0297583595430314,0.43089998722076417,0.030235575094689347,0.518899986743927,0.024815115725151212
57,100,cifar10,2,0.09,0.06,1.0,0.6384999871253967,0.025898835155266024,0.6404999840259552,0.023637887684044987,0.7266999804973602,0.023154049095967237
57,100,cifar10,3,0.07,0.06,0.96,0.7659999817609787,0.020493893039369934,0.7682999795675278,0.020787247686070535,0.8288999801874161,0.01854157015605243
57,100,cifar10,5,0.11,0.05,0.78,0.882899985909462,0.01595587384206884,0.8836999881267548,0.012621801677137867,0.913599973320961,0.011791527248059366
57,100,cifar10,10,0.14,0.05,0.34,0.9538999843597412,0.009684514500472238,0.9504999876022339,0.00887411121162941,0.9618999767303467,0.008449252264812907
57,100,cifar10,20,0.04,0.07,0.09,0.9728999662399292,0.006677568041687408,0.9743999648094177,0.006974231658513125,0.9761999636888504,0.007039881664038527
57,100,camelyon17,1,0.11,0.09,0.99,0.16889999508857728,0.020243269972544147,0.16959999576210977,0.016365816931248854,0.2560999922454357,0.020634677122188236
57,100,camelyon17,2,0.1,0.12,1.0,0.28989999264478683,0.021470678860778938,0.2890999911725521,0.02074102178550274,0.39039998829364775,0.023363215248260166
57,100,camelyon17,3,0.09,0.09,1.0,0.3764999920129776,0.020754513769524016,0.3800999909639359,0.021094782093598958,0.4711999896168709,0.02113196861153321
57,100,camelyon17,5,0.1,0.07,1.0,0.4802999883890152,0.01961912467419113,0.4773999872803688,0.01758522160039488,0.5470999878644943,0.016570765294541552
57,100,camelyon17,10,0.09,0.08,0.61,0.5796999883651733,0.018517823573160418,0.5802999877929688,0.017801959505349952,0.6117999905347824,0.018241717771322042
57,100,camelyon17,20,0.07,0.05,0.32,0.6294999921321869,0.01716827761011656,0.629499996304512,0.01423901940043338,0.6482999801635743,0.014495163000274999
