run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,Phi-mean,Phi-med,Phi-std,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,_wandb.runtime
ts1rzs69,pleasant-sweep-663,crashed,"{'_runtime': 1918.796106815338, '_step': 0, '_timestamp': 1740493448.1501608, 'train_acc': 0.160875, 'train_loss': 7.21832889251709, 'val_acc': 0.18411624203821655, 'val_loss': 2.081457800925917}",2025-02-25T13:52:01Z,cifar10,1000,256,4,7,1024,50,10,1918.796106815338,0.0,1740493448.1501608,0.160875,7.21832889251709,0.18411624203821655,2.081457800925917,,,,,,,,,,
vma1kfe3,good-sweep-662,crashed,"{'_runtime': 2294.657343387604, '_step': 33, '_timestamp': 1740493788.7796144, 'train_acc': 0.80905, 'train_loss': 7.240992630767822, 'val_acc': 0.7757762738853503, 'val_loss': 0.6950254810463851}",2025-02-25T13:51:24Z,cifar10,1000,512,3,7,256,50,100,2294.657343387604,33.0,1740493788.7796144,0.80905,7.240992630767822,0.7757762738853503,0.6950254810463851,,,,,,,,,,
r6cttueu,iconic-sweep-661,crashed,"{'_runtime': 1659.0441932678225, '_step': 22, '_timestamp': 1740493121.0038042, 'train_acc': 0.70925, 'train_loss': 8.188929183197022, 'val_acc': 0.7055135350318471, 'val_loss': 0.879206722709024}",2025-02-25T13:50:54Z,cifar10,10,512,4,5,512,50,100,1659.0441932678225,22.0,1740493121.0038042,0.70925,8.188929183197022,0.7055135350318471,0.879206722709024,,,,,,,,,,
x6wxy5wj,cerulean-sweep-660,crashed,"{'_runtime': 2270.270166873932, '_step': 40, '_timestamp': 1740493351.7731369, 'train_acc': 0.796175, 'train_loss': 3.0550976707458495, 'val_acc': 0.7892117834394905, 'val_loss': 0.662749234658138}",2025-02-25T13:44:31Z,cifar10,100,128,3,5,512,50,100,2270.270166873932,40.0,1740493351.7731369,0.796175,3.0550976707458495,0.7892117834394905,0.662749234658138,,,,,,,,,,
qw5c1en1,happy-sweep-659,finished,"{'Phi-mean': 0.1831599943190813, 'Phi-med': 0.17999999225139618, 'Phi-std': 0.0317555399554532, '_runtime': 990.9124443531036, '_step': 52, '_timestamp': 1740491926.2862525, '_wandb': {'runtime': 990}, 'dr_ood': [0.2275999940931797, 0.033559499146622596], 'dr_test': [0.17879999436438085, 0.03586864695307409], 'dr_train': [0.18379999414086343, 0.03437382568090968], 'fpr_id': 0.08, 'fpr_train': 0.09, 'tpr': 0.48, 'train_acc': 0.838625, 'train_loss': 2.2886150259017946, 'val_acc': 0.8294187898089171, 'val_loss': 0.537255432955019}",2025-02-25T13:42:03Z,cifar10,10,128,3,3,256,50,100,990.9124443531036,52.0,1740491926.2862525,0.838625,2.2886150259017946,0.8294187898089171,0.537255432955019,0.1831599943190813,0.17999999225139618,0.0317555399554532,"[0.2275999940931797, 0.033559499146622596]","[0.17879999436438085, 0.03586864695307409]","[0.18379999414086343, 0.03437382568090968]",0.08,0.09,0.48,990.0
fdurkg6x,deep-sweep-658,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:41:29Z,cifar10,100,256,3,3,512,50,10,,,,,,,,,,,,,,,,,15.0
p6tlhltr,eager-sweep-657,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:40:58Z,cifar10,1,256,4,7,256,50,1000,,,,,,,,,,,,,,,,,15.0
xu52tloo,laced-sweep-656,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:40:27Z,cifar10,1,512,3,5,512,50,100,,,,,,,,,,,,,,,,,16.0
j8e83aes,vital-sweep-655,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:39:56Z,cifar10,10,256,3,3,1024,50,1000,,,,,,,,,,,,,,,,,16.0
5nrfftvh,azure-sweep-654,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:39:26Z,cifar10,1000,256,4,7,256,50,1000,,,,,,,,,,,,,,,,,16.0
74s42yye,lilac-sweep-653,finished,"{'Phi-mean': 0.1893599939197302, 'Phi-med': 0.17999999225139618, 'Phi-std': 0.033710389186209215, '_runtime': 1702.8771777153015, '_step': 52, '_timestamp': 1740492458.5581937, '_wandb': {'runtime': 1702}, 'dr_ood': [0.23819999292492863, 0.03578770722743308], 'dr_test': [0.1899999938160181, 0.034117443412203866], 'dr_train': [0.1913999938964844, 0.03613917403300632], 'fpr_id': 0.1, 'fpr_train': 0.2, 'tpr': 0.59, 'train_acc': 0.87725, 'train_loss': 6.9954324714660645, 'val_acc': 0.8333001592356688, 'val_loss': 0.5254402048648543}",2025-02-25T13:39:07Z,cifar10,10,512,4,3,256,50,100,1702.8771777153015,52.0,1740492458.5581937,0.87725,6.9954324714660645,0.8333001592356688,0.5254402048648543,0.1893599939197302,0.17999999225139618,0.033710389186209215,"[0.23819999292492863, 0.03578770722743308]","[0.1899999938160181, 0.034117443412203866]","[0.1913999938964844, 0.03613917403300632]",0.1,0.2,0.59,1702.0
122webr9,clean-sweep-652,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:38:43Z,cifar10,10,256,4,5,512,50,1000,,,,,,,,,,,,,,,,,15.0
dyb4365n,genial-sweep-651,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:38:12Z,cifar10,1000,512,3,3,256,50,1000,,,,,,,,,,,,,,,,,16.0
tuxa93du,sweet-sweep-650,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:37:24Z,cifar10,1,256,3,3,512,50,1000,,,,,,,,,,,,,,,,,16.0
u6y6dunq,peachy-sweep-649,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:36:53Z,cifar10,1,128,4,5,256,50,1000,,,,,,,,,,,,,,,,,15.0
