run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,Phi-mean,Phi-med,Phi-std,_runtime,_step,_timestamp,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,train_acc,train_loss,val_acc,val_loss,_wandb.runtime
2tt4hsdl,vivid-sweep-1058,crashed,"{'_runtime': 495.27364349365234, '_step': 11, '_timestamp': 1740582330.2754326, 'train_acc': 0.625625, 'train_loss': 63.960936639404295, 'val_acc': 0.6235071656050956, 'val_loss': 1.4104555123930524}",2025-02-26T14:57:00Z,cifar10,1000,512,4,7,256,100,1000,,,,495.27364349365234,11.0,1740582330.2754326,,,,,,,0.625625,63.960936639404295,0.6235071656050956,1.4104555123930524,
s4g0no92,rose-sweep-1057,crashed,"{'_runtime': 1250.1023342609406, '_step': 41, '_timestamp': 1740582753.1630833, 'train_acc': 0.89575, 'train_loss': 0.3980768233776093, 'val_acc': 0.8180732484076433, 'val_loss': 0.6199451833014276}",2025-02-26T14:51:27Z,cifar10,100,128,4,5,256,100,1,,,,1250.1023342609406,41.0,1740582753.1630833,,,,,,,0.89575,0.3980768233776093,0.8180732484076433,0.6199451833014276,
41tc0ns9,fragrant-sweep-1056,crashed,"{'_runtime': 584.772876739502, '_step': 29, '_timestamp': 1740582077.2336388, 'train_acc': 0.842325, 'train_loss': 3.8641989555358887, 'val_acc': 0.816281847133758, 'val_loss': 0.5658046652556984}",2025-02-26T14:51:15Z,cifar10,100,256,4,5,128,100,100,,,,584.772876739502,29.0,1740582077.2336388,,,,,,,0.842325,3.8641989555358887,0.816281847133758,0.5658046652556984,
4meaadr0,neat-sweep-1055,finished,"{'Phi-mean': 0.06411999839916825, 'Phi-med': 0.05999999865889549, 'Phi-std': 0.015869013532554162, '_runtime': 1017.9929404258728, '_step': 52, '_timestamp': 1740582464.432053, '_wandb': {'runtime': 1017}, 'dr_ood': [0.09099999718368051, 0.016278820005685493], 'dr_test': [0.06409999864175915, 0.015303267287249593], 'dr_train': [0.06409999867901206, 0.01783788061568356], 'fpr_id': 0.08, 'fpr_train': 0.1, 'tpr': 0.61, 'train_acc': 0.910125, 'train_loss': 0.4589255579948425, 'val_acc': 0.8541003184713376, 'val_loss': 0.533233740622071}",2025-02-26T14:50:29Z,cifar10,1,256,4,3,128,100,1,0.06411999839916825,0.05999999865889549,0.015869013532554162,1017.9929404258728,52.0,1740582464.432053,"[0.09099999718368051, 0.016278820005685493]","[0.06409999864175915, 0.015303267287249593]","[0.06409999867901206, 0.01783788061568356]",0.08,0.1,0.61,0.910125,0.4589255579948425,0.8541003184713376,0.533233740622071,1017.0
l505hwxd,treasured-sweep-1054,finished,"{'Phi-mean': 0.08305999771878124, 'Phi-med': 0.07999999821186066, 'Phi-std': 0.017147488687704802, '_runtime': 1252.3543162345886, '_step': 52, '_timestamp': 1740582497.2909343, '_wandb': {'runtime': 1252}, 'dr_ood': [0.10719999693334102, 0.019853463480012767], 'dr_test': [0.08519999742507935, 0.015522885247262318], 'dr_train': [0.08169999796897173, 0.015877971090700122], 'fpr_id': 0.1, 'fpr_train': 0.09, 'tpr': 0.51, 'train_acc': 0.846675, 'train_loss': 0.6097087591648102, 'val_acc': 0.8152866242038217, 'val_loss': 0.6018959916890807}",2025-02-26T14:47:08Z,cifar10,1,256,2,7,128,100,1,0.08305999771878124,0.07999999821186066,0.017147488687704802,1252.3543162345886,52.0,1740582497.2909343,"[0.10719999693334102, 0.019853463480012767]","[0.08519999742507935, 0.015522885247262318]","[0.08169999796897173, 0.015877971090700122]",0.1,0.09,0.51,0.846675,0.6097087591648102,0.8152866242038217,0.6018959916890807,1252.0
hbimfnke,worldly-sweep-1053,crashed,"{'_runtime': 1125.8405079841614, '_step': 6, '_timestamp': 1740582204.657815, 'train_acc': 0.573425, 'train_loss': 1.4350129512786864, 'val_acc': 0.5947452229299363, 'val_loss': 1.1367008200116977}",2025-02-26T14:44:26Z,cifar10,10,256,2,5,1024,100,1,,,,1125.8405079841614,6.0,1740582204.657815,,,,,,,0.573425,1.4350129512786864,0.5947452229299363,1.1367008200116977,
9twi5ipy,autumn-sweep-1052,crashed,"{'_runtime': 927.1666815280914, '_step': 6, '_timestamp': 1740581968.2129817, 'train_acc': 0.5705, 'train_loss': 8.719870658874513, 'val_acc': 0.595640923566879, 'val_loss': 1.2052958573505377}",2025-02-26T14:43:45Z,cifar10,100,512,2,3,1024,100,100,,,,927.1666815280914,6.0,1740581968.2129817,,,,,,,0.5705,8.719870658874513,0.595640923566879,1.2052958573505377,
vu58uc6a,ethereal-sweep-1051,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:42:30Z,cifar10,100,512,4,3,128,100,100,,,,,,,,,,,,,,,,,15.0
7bx0erbk,brisk-sweep-1050,finished,"{'Phi-mean': 0.3476999936699867, 'Phi-med': 0.3499999940395355, 'Phi-std': 0.02577809068458237, '_runtime': 1034.3707971572876, '_step': 52, '_timestamp': 1740581994.2783885, '_wandb': {'runtime': 1034}, 'dr_ood': [0.3997999882698059, 0.023064255165158892], 'dr_test': [0.3438999938964844, 0.025451717887375925], 'dr_train': [0.3487999939918518, 0.02643028509273601], 'fpr_id': 0.04, 'fpr_train': 0.08, 'tpr': 0.7, 'train_acc': 0.814475, 'train_loss': 15.566798825073242, 'val_acc': 0.7916003184713376, 'val_loss': 0.7762098528776958}",2025-02-26T14:42:21Z,cifar10,1000,128,4,3,128,100,1000,0.3476999936699867,0.3499999940395355,0.02577809068458237,1034.3707971572876,52.0,1740581994.2783885,"[0.3997999882698059, 0.023064255165158892]","[0.3438999938964844, 0.025451717887375925]","[0.3487999939918518, 0.02643028509273601]",0.04,0.08,0.7,0.814475,15.566798825073242,0.7916003184713376,0.7762098528776958,1034.0
3ueyuta2,iconic-sweep-1049,finished,"{'Phi-mean': 0.13675999657809734, 'Phi-med': 0.14000000059604645, 'Phi-std': 0.02109744948109678, '_runtime': 1049.5370032787323, '_step': 52, '_timestamp': 1740582002.1002934, '_wandb': {'runtime': 1049}, 'dr_ood': [0.1818999944627285, 0.023051896856476062], 'dr_test': [0.13789999671280384, 0.02079879795961762], 'dr_train': [0.1392999967932701, 0.02001274594400668], 'fpr_id': 0.11, 'fpr_train': 0.1, 'tpr': 0.77, 'train_acc': 0.87515, 'train_loss': 1.2018061732292176, 'val_acc': 0.8385748407643312, 'val_loss': 0.4993518342258065}",2025-02-26T14:42:14Z,cifar10,1000,256,3,3,256,100,10,0.13675999657809734,0.14000000059604645,0.02109744948109678,1049.5370032787323,52.0,1740582002.1002934,"[0.1818999944627285, 0.023051896856476062]","[0.13789999671280384, 0.02079879795961762]","[0.1392999967932701, 0.02001274594400668]",0.11,0.1,0.77,0.87515,1.2018061732292176,0.8385748407643312,0.4993518342258065,1049.0
