run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,Phi-mean,Phi-med,Phi-std,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,_wandb.runtime
p4zgydxw,lilac-sweep-947,crashed,"{'_runtime': 254.03992819786072, '_step': 0, '_timestamp': 1740611425.9999151, 'train_acc': 0.212925, 'train_loss': 5.581073762512207, 'val_acc': 0.26293789808917195, 'val_loss': 1.872965749661634}",2025-02-26T23:06:00Z,cifar10,10,256,3,5,1024,200,1,254.03992819786072,0.0,1740611425.9999151,0.212925,5.581073762512207,0.26293789808917195,1.872965749661634,,,,,,,,,,
z94djfgq,swift-sweep-946,crashed,"{'_runtime': 378.35990810394287, '_step': 4, '_timestamp': 1740611456.1193202, 'train_acc': 0.504925, 'train_loss': 2.9590363483428956, 'val_acc': 0.5760350318471338, 'val_loss': 1.159204694495839}",2025-02-26T23:04:20Z,cifar10,10,512,4,5,512,200,10,378.35990810394287,4.0,1740611456.1193202,0.504925,2.9590363483428956,0.5760350318471338,1.159204694495839,,,,,,,,,,
vhzg8c25,silvery-sweep-945,crashed,"{'_runtime': 411.23976039886475, '_step': 13, '_timestamp': 1740611453.470199, 'train_acc': 0.725525, 'train_loss': 1.3037136571884156, 'val_acc': 0.7313893312101911, 'val_loss': 0.7630591969581166}",2025-02-26T23:03:51Z,cifar10,1000,128,4,5,256,200,10,411.23976039886475,13.0,1740611453.470199,0.725525,1.3037136571884156,0.7313893312101911,0.7630591969581166,,,,,,,,,,
2ie44ar8,trim-sweep-944,crashed,"{'_runtime': 462.3304431438446, '_step': 23, '_timestamp': 1740611443.6193252, 'train_acc': 0.771275, 'train_loss': 0.9341603924751282, 'val_acc': 0.7788614649681529, 'val_loss': 0.6658335208513175}",2025-02-26T23:02:48Z,cifar10,10,512,2,3,256,200,1,462.3304431438446,23.0,1740611443.6193252,0.771275,0.9341603924751282,0.7788614649681529,0.6658335208513175,,,,,,,,,,
df2wea91,glorious-sweep-943,crashed,"{'_runtime': 380.33153319358826, '_step': 1, '_timestamp': 1740611282.4973342, 'train_acc': 0.099425, 'train_loss': 17.01712816619873, 'val_acc': 0.09544187898089172, 'val_loss': 2.3298919990563847}",2025-02-26T23:01:28Z,cifar10,1,256,3,3,1024,200,100,380.33153319358826,1.0,1740611282.4973342,0.099425,17.01712816619873,0.09544187898089172,2.3298919990563847,,,,,,,,,,
ij0p788e,crimson-sweep-942,crashed,"{'_runtime': 546.2739219665527, '_step': 24, '_timestamp': 1740611437.506113, 'train_acc': 0.79965, 'train_loss': 7.2032653533935544, 'val_acc': 0.7986664012738853, 'val_loss': 0.6227703312779688}",2025-02-26T23:01:18Z,cifar10,1000,512,3,5,128,200,100,546.2739219665527,24.0,1740611437.506113,0.79965,7.2032653533935544,0.7986664012738853,0.6227703312779688,,,,,,,,,,
htqxwwrw,stellar-sweep-941,crashed,"{'_runtime': 587.5243785381317, '_step': 6, '_timestamp': 1740611417.9456136, 'train_acc': 0.573175, 'train_loss': 32.415847262573244, 'val_acc': 0.6142515923566879, 'val_loss': 1.5067427424108906}",2025-02-26T23:00:17Z,cifar10,1000,256,4,7,256,200,1000,587.5243785381317,6.0,1740611417.9456136,0.573175,32.415847262573244,0.6142515923566879,1.5067427424108906,,,,,,,,,,
4bxg0x5d,honest-sweep-940,crashed,"{'_runtime': 754.0430707931519, '_step': 24, '_timestamp': 1740611422.665295, 'train_acc': 0.80375, 'train_loss': 1.67377059841156, 'val_acc': 0.7946855095541401, 'val_loss': 0.6144599443787981}",2025-02-26T22:57:36Z,cifar10,1000,512,3,3,256,200,10,754.0430707931519,24.0,1740611422.665295,0.80375,1.67377059841156,0.7946855095541401,0.6144599443787981,,,,,,,,,,
yibm81wl,crimson-sweep-939,crashed,"{'_runtime': 777.835542678833, '_step': 31, '_timestamp': 1740611425.2536387, 'train_acc': 0.779175, 'train_loss': 31.669852322387698, 'val_acc': 0.7552746815286624, 'val_loss': 0.971207580748637}",2025-02-26T22:57:12Z,cifar10,1000,256,4,5,256,200,1000,777.835542678833,31.0,1740611425.2536387,0.779175,31.669852322387698,0.7552746815286624,0.971207580748637,,,,,,,,,,
ni0a0ula,ancient-sweep-938,finished,"{'Phi-mean': 0.1664299964159727, 'Phi-med': 0.16499999165534973, 'Phi-std': 0.0157450024113726, '_runtime': 1078.771850824356, '_step': 52, '_timestamp': 1740611152.9977849, '_wandb': {'runtime': 1078}, 'dr_ood': [0.21289999425411224, 0.017279756161655453], 'dr_test': [0.16494999676942826, 0.015074730633429949], 'dr_train': [0.1656499967724085, 0.0162735220570142], 'fpr_id': 0.05, 'fpr_train': 0.02, 'tpr': 0.86, 'train_acc': 0.8051, 'train_loss': 7.231356969451904, 'val_acc': 0.8013535031847133, 'val_loss': 0.6239609444976613}",2025-02-26T22:47:39Z,cifar10,1,512,2,3,256,200,100,1078.771850824356,52.0,1740611152.9977849,0.8051,7.231356969451904,0.8013535031847133,0.6239609444976613,0.1664299964159727,0.16499999165534973,0.0157450024113726,"[0.21289999425411224, 0.017279756161655453]","[0.16494999676942826, 0.015074730633429949]","[0.1656499967724085, 0.0162735220570142]",0.05,0.02,0.86,1078.0
