seed,data_sample_size,fpr_train,fpr_id,tpr
54,50,0.11,0.09,0.92
67,50,0.09,0.06,1.0
69,50,0.11,0.03,0.6
2,50,0.12,0.05,0.6
3,50,0.07,0.08,0.82
7,50,0.07,0.03,0.9
8,50,0.13,0.06,0.94
27,50,0.12,0.08,0.94
34,50,0.05,0.02,0.96
51,50,0.08,0.05,0.99
