seed,data_sample_size,fpr_train,fpr_id,tpr
57,10,0.42,0.48,0.83
59,10,0.15,0.18,0.27
60,10,0.23,0.2,0.27
61,10,0.08,0.11,0.36
62,10,0.28,0.15,0.28
63,10,0.36,0.36,0.91
64,10,0.09,0.14,0.0
65,10,0.24,0.32,0.16
66,10,0.01,0.07,0.33
67,10,0.09,0.05,0.59
68,10,0.28,0.28,0.25
69,10,0.08,0.09,0.33
70,10,0.35,0.5,0.15
71,10,0.12,0.12,0.32
72,10,0.2,0.13,0.24
73,10,0.06,0.05,0.29
74,10,0.1,0.03,0.21
75,10,0.05,0.05,0.66
76,10,0.43,0.42,0.9
77,10,0.1,0.04,0.58
78,10,0.29,0.33,0.84
79,10,0.49,0.52,0.82
80,10,0.33,0.35,0.07
81,10,0.08,0.07,0.04
83,10,0.27,0.29,0.19
84,10,0.12,0.1,0.47
85,10,0.34,0.54,0.08
88,10,0.05,0.08,0.31
89,10,0.24,0.22,0.0
91,10,0.09,0.04,0.14
92,10,0.2,0.15,0.0
93,10,0.13,0.12,0.84
94,10,0.06,0.09,0.33
95,10,0.1,0.07,0.73
96,10,0.04,0.09,0.31
97,10,0.03,0.06,0.2
98,10,0.05,0.03,0.19
99,10,0.04,0.05,0.28
100,10,0.1,0.13,0.22
101,10,0.08,0.09,0.16
102,10,0.06,0.05,0.41
103,10,0.4,0.42,0.81
104,10,0.22,0.22,0.01
105,10,0.03,0.13,0.63



57,10,0.16,0.23,0.56
57,10,0.22,0.22,0.61
