seed,data_sample_size,fpr_train,fpr_id,tpr
35,20,0.05,0.08,0.54
34,20,0.07,0.06,0.6
33,20,0.09,0.05,0.76
26,20,0.12,0.11,0.57
25,20,0.06,0.07,0.43
24,20,0.05,0.06,0.41
27,20,0.32,0.26,0.74
20,20,0.06,0.06,0.5
23,20,0.08,0.1,0.56
22,20,0.06,0.11,0.52
21,20,0.07,0.07,0.52
29,20,0.09,0.07,0.43
31,20,0.13,0.14,0.55
30,20,0.07,0.06,0.54
28,20,0.06,0.09,0.53
84,20,0.03,0.07,0.6
85,20,0.07,0.18,0.61
95,20,0.12,0.1,0.43
98,20,0.07,0.08,0.63
81,20,0.11,0.09,0.46
82,20,0.1,0.05,0.53
88,20,0.1,0.07,0.5
87,20,0.04,0.09,0.42
83,20,0.13,0.15,0.75
90,20,0.06,0.07,0.56
92,20,0.11,0.14,0.56
