seed,data_sample_size,fpr_train,fpr_id,tpr
1000,100,0.1,0.12,0.67
1011,100,0.08,0.06,0.67
1003,100,0.1,0.1,0.66
1029,100,0.12,0.13,0.74
1020,100,0.12,0.09,0.75
1007,100,0.1,0.1,0.83
1002,100,0.08,0.05,0.8
1009,100,0.07,0.09,0.67
1025,100,0.04,0.03,0.66
1013,100,0.13,0.09,0.69
1016,100,0.08,0.04,0.67
1001,100,0.07,0.11,0.68
1005,100,0.06,0.02,0.58
1027,100,0.17,0.06,0.84
1023,100,0.1,0.07,0.58
1018,100,0.13,0.15,0.72
1010,100,0.17,0.07,0.89
1004,100,0.08,0.03,0.62
1022,100,0.02,0.07,0.68
1006,100,0.07,0.02,0.64
1019,100,0.13,0.08,0.9
1017,100,0.07,0.11,0.71
1015,100,0.07,0.02,0.62
1008,100,0.07,0.15,0.68
1028,100,0.05,0.06,0.73
1014,100,0.08,0.08,0.71
1021,100,0.11,0.07,0.6
1012,100,0.1,0.15,0.82
1026,100,0.04,0.08,0.58
1024,100,0.09,0.11,0.63
