seed,data_sample_size,fpr_train,fpr_id,tpr
0,50,0.07,0.1,0.98
2,50,0.12,0.05,0.6
1,50,0.13,0.11,1.0
3,50,0.07,0.08,0.82
11,50,0.07,0.1,0.76
12,50,0.15,0.06,0.53
22,50,0.04,0.07,0.18
20,50,0.1,0.08,0.72
19,50,0.16,0.17,0.9
21,50,0.03,0.01,0.27
6,50,0.09,0.05,0.5
10,50,0.14,0.12,0.0
7,50,0.07,0.03,0.9
9,50,0.15,0.06,0.86
5,50,0.1,0.12,0.48
13,50,0.17,0.11,0.93
8,50,0.13,0.06,0.94
17,50,0.08,0.12,1.0
18,50,0.1,0.13,0.63
16,50,0.1,0.07,0.32
25,50,0.07,0.06,0.53
26,50,0.17,0.18,0.9
23,50,0.05,0.13,0.0
27,50,0.12,0.08,0.94
28,50,0.1,0.12,0.0
29,50,0.09,0.11,0.91
36,50,0.14,0.13,0.87
37,50,0.11,0.09,0.02
43,50,0.1,0.05,0.59
41,50,0.11,0.1,0.93
40,50,0.18,0.17,0.0
39,50,0.07,0.04,0.5
48,50,0.06,0.05,0.82
32,50,0.09,0.07,0.22
33,50,0.0,0.08,0.02
31,50,0.11,0.07,0.41
30,50,0.08,0.08,0.31
35,50,0.02,0.06,0.86
34,50,0.05,0.02,0.96
47,50,0.04,0.1,0.36
45,50,0.1,0.13,0.76
44,50,0.06,0.02,0.7
46,50,0.1,0.04,0.0
53,50,0.05,0.1,0.19
50,50,0.16,0.1,0.73
52,50,0.14,0.16,0.87
51,50,0.08,0.05,0.99
74,50,0.18,0.23,0.54
77,50,0.09,0.09,1.0
75,50,0.13,0.11,1.0
76,50,0.06,0.11,0.66
79,50,0.04,0.04,0.39
56,50,0.1,0.12,0.59
73,50,0.1,0.11,0.91
72,50,0.11,0.16,0.41
62,50,0.07,0.1,0.08
70,50,0.18,0.14,0.02
63,50,0.06,0.08,0.82
64,50,0.08,0.1,0.0
61,50,0.05,0.1,0.42
71,50,0.11,0.07,0.48
69,50,0.11,0.03,0.6
67,50,0.09,0.06,1.0
66,50,0.15,0.13,0.74
68,50,0.04,0.09,0.05
58,50,0.11,0.07,0.75
57,50,0.13,0.11,0.77
59,50,0.09,0.12,0.38
60,50,0.12,0.2,0.26
65,50,0.05,0.1,0.04
54,50,0.11,0.09,0.92
