seed,data_sample_size,fpr_train,fpr_id,tpr
0,20,0.15,0.15,0.8
1,20,0.13,0.23,0.99
5,20,0.08,0.18,0.44
3,20,0.15,0.13,0.77
4,20,0.19,0.24,0.57
26,20,0.09,0.19,0.65
28,20,0.1,0.12,0.0
27,20,0.12,0.14,0.79
25,20,0.19,0.11,0.68
8,20,0.17,0.1,0.78
13,20,0.11,0.14,0.69
14,20,0.21,0.16,0.89
15,20,0.13,0.19,0.55
16,20,0.2,0.12,0.42
12,20,0.2,0.15,0.45
10,20,0.23,0.28,0.0
11,20,0.17,0.09,0.66
23,20,0.23,0.15,0.0
19,20,0.22,0.07,0.61
18,20,0.1,0.23,0.4
20,20,0.22,0.15,0.6
17,20,0.14,0.14,0.82
22,20,0.05,0.08,0.13
24,20,0.08,0.13,0.44
21,20,0.15,0.14,0.41
9,20,0.21,0.12,0.57
48,20,0.19,0.13,0.85
47,20,0.26,0.12,0.41
37,20,0.08,0.09,0.06
34,20,0.03,0.07,0.61
40,20,0.07,0.15,0.03
38,20,0.17,0.17,0.67
39,20,0.14,0.08,0.38
33,20,0.07,0.05,0.03
36,20,0.12,0.19,0.59
35,20,0.13,0.04,0.66
57,20,0.14,0.16,0.58
58,20,0.13,0.18,0.58
45,20,0.23,0.16,0.58
43,20,0.14,0.13,0.42
44,20,0.15,0.23,0.68
42,20,0.13,0.15,0.48
31,20,0.25,0.31,0.53
30,20,0.27,0.26,0.42
32,20,0.05,0.04,0.14
41,20,0.13,0.12,0.67
62,20,0.07,0.05,0.12
60,20,0.03,0.04,0.1
61,20,0.11,0.17,0.51
65,20,0.06,0.06,0.04
66,20,0.13,0.11,0.41
56,20,0.08,0.09,0.47
50,20,0.13,0.12,0.64
54,20,0.1,0.11,0.67
51,20,0.08,0.09,0.84
49,20,0.09,0.1,0.41
53,20,0.23,0.15,0.39
52,20,0.14,0.13,0.69
55,20,0.32,0.29,0.73
68,20,0.13,0.05,0.05
74,20,0.16,0.21,0.35
73,20,0.11,0.22,0.56
75,20,0.08,0.09,0.94
76,20,0.14,0.09,0.55
79,20,0.18,0.16,0.62
78,20,0.07,0.08,0.45
72,20,0.01,0.04,0.08
71,20,0.22,0.19,0.54
69,20,0.23,0.14,0.65
70,20,0.09,0.12,0.0
67,20,0.1,0.08,0.93
77,20,0.15,0.08,0.76
