seed,data_sample_size,fpr_train,fpr_id,tpr
57,20,0.07,0.1,0.43
58,20,0.11,0.14,0.39
59,20,0.08,0.07,0.41
61,20,0.17,0.14,0.74
63,20,0.1,0.07,0.65
65,20,0.04,0.03,0.39
66,20,0.05,0.08,0.55
67,20,0.06,0.07,0.35
68,20,0.08,0.06,0.46
69,20,0.14,0.13,0.49
70,20,0.08,0.04,0.47
71,20,0.16,0.25,0.72
74,20,0.14,0.15,0.62
76,20,0.07,0.03,0.43
77,20,0.07,0.04,0.31
78,20,0.14,0.18,0.71
79,20,0.09,0.06,0.45
81,20,0.15,0.09,0.61
83,20,0.17,0.17,0.7
85,20,0.1,0.13,0.36
86,20,0.12,0.07,0.51
87,20,0.12,0.12,0.52
89,20,0.15,0.19,0.65
91,20,0.17,0.09,0.53
92,20,0.05,0.08,0.42
93,20,0.11,0.09,0.43
95,20,0.17,0.09,0.57
96,20,0.1,0.06,0.55
97,20,0.1,0.06,0.5
100,20,0.06,0.06,0.46
101,20,0.17,0.12,0.47
102,20,0.02,0.01,0.45
103,20,0.24,0.15,0.64
106,20,0.1,0.07,0.4
