seed,data_sample_size,fpr_train,fpr_id,tpr
9927,50,0.06,0.03,0.71
51,50,0.04,0.04,0.63
52,50,0.08,0.14,0.61
50,50,0.09,0.15,0.87
53,50,0.09,0.05,0.87
55,50,0.07,0.13,0.82
56,50,0.08,0.07,0.71
57,50,0.08,0.16,0.86
59,50,0.1,0.08,0.84
100,50,0.04,0.09,0.89
586,50,0.1,0.16,0.92
585,50,0.11,0.16,0.92
587,50,0.08,0.08,0.88
574,50,0.06,0.05,0.78
588,50,0.07,0.05,0.85
581,50,0.15,0.06,0.89
584,50,0.04,0.04,0.79
583,50,0.08,0.03,0.9
577,50,0.08,0.07,0.86
579,50,0.03,0.05,0.6
578,50,0.08,0.09,0.76
576,50,0.04,0.03,0.78
582,50,0.08,0.01,0.81
575,50,0.07,0.07,0.83
589,50,0.07,0.09,0.9
570,50,0.07,0.05,0.79
572,50,0.05,0.07,0.84
573,50,0.13,0.09,0.89
580,50,0.12,0.17,0.8
