seed,data_sample_size,fpr_train,fpr_id,tpr
57,10,0.11,0.12,0.4
58,10,0.18,0.22,0.38
60,10,0.15,0.14,0.39
61,10,0.11,0.07,0.43
62,10,0.11,0.08,0.38
63,10,0.05,0.12,0.4
64,10,0.11,0.17,0.43
65,10,0.14,0.17,0.47
66,10,0.14,0.14,0.44
67,10,0.08,0.19,0.37
68,10,0.28,0.09,0.57
69,10,0.09,0.07,0.38
70,10,0.17,0.19,0.41
71,10,0.12,0.08,0.34
72,10,0.1,0.16,0.5
73,10,0.06,0.09,0.35
74,10,0.08,0.08,0.21
75,10,0.13,0.16,0.4
76,10,0.14,0.09,0.38
77,10,0.26,0.17,0.47
78,10,0.1,0.13,0.35
79,10,0.13,0.07,0.49
80,10,0.09,0.11,0.4
82,10,0.12,0.07,0.46
83,10,0.06,0.08,0.44
84,10,0.1,0.13,0.45
88,10,0.13,0.09,0.41
92,10,0.07,0.11,0.44
98,10,0.2,0.23,0.59
101,10,0.21,0.2,0.44
102,10,0.09,0.13,0.42
103,10,0.07,0.11,0.46
104,10,0.11,0.1,0.42
105,10,0.08,0.1,0.42
106,10,0.15,0.1,0.43
