seed,data_sample_size,fpr_train,fpr_id,tpr
57,20,0.13,0.11,0.77
58,20,0.14,0.22,0.82
59,20,0.15,0.3,0.31
60,20,0.25,0.18,0.39
61,20,0.11,0.11,0.37
62,20,0.1,0.06,0.1
63,20,0.17,0.14,0.79
64,20,0.15,0.07,0.0
65,20,0.05,0.07,0.04
66,20,0.19,0.18,0.77
68,20,0.06,0.06,0.04
69,20,0.05,0.04,0.39
71,20,0.09,0.07,0.33
72,20,0.11,0.15,0.42
73,20,0.07,0.02,0.4
74,20,0.1,0.1,0.26
75,20,0.09,0.02,0.91
78,20,0.13,0.25,0.73
79,20,0.05,0.06,0.28
80,20,0.09,0.15,0.02
81,20,0.07,0.09,0.06
82,20,0.05,0.05,0.21
83,20,0.07,0.08,0.04
84,20,0.02,0.06,0.51
85,20,0.17,0.17,0.0
86,20,0.08,0.16,0.83
87,20,0.09,0.07,0.29
88,20,0.08,0.07,0.54
89,20,0.19,0.2,0.0
90,20,0.14,0.06,0.66
91,20,0.19,0.25,0.57
92,20,0.28,0.3,0.0
93,20,0.09,0.14,0.96
94,20,0.03,0.05,0.44
95,20,0.05,0.05,0.95
96,20,0.1,0.06,0.44
97,20,0.19,0.13,0.68
98,20,0.1,0.11,0.18
99,20,0.04,0.04,0.35
101,20,0.07,0.05,0.27
102,20,0.04,0.06,0.58
103,20,0.16,0.18,0.74
104,20,0.21,0.29,0.0
105,20,0.08,0.08,0.89
61,20,0.05,0.11,0.28
70,20,0.16,0.11,0.81
73,20,0.1,0.08,0.64
72,20,0.18,0.24,0.92
71,20,0.1,0.01,0.39
75,20,0.26,0.18,0.77
76,20,0.15,0.04,0.14
69,20,0.06,0.02,0.18
68,20,0.2,0.15,0.54
67,20,0.18,0.22,0.11
66,20,0.3,0.29,0.78
59,20,0.08,0.11,0.49
57,20,0.23,0.17,0.78
60,20,0.3,0.27,0.68
62,20,0.05,0.09,0.48
63,20,0.15,0.07,0.45
65,20,0.25,0.15,0.73
64,20,0.18,0.12,0.79
